title,acronym,link
Int. Workshop on Formal Methods for Industrial Critical Systems,FMICS,https://fmics2025-ag-sks-websites-135be46425c7ded8977ddfe65ca7e22ac5bee.zivgitlabpages.uni-muenster.de//
International Workshop on Formal Methods for interactive Systems,FMIS,None
The International Conference on Future Networks and Communications,FNC,http://cs-conferences.acadiau.ca/fnc-25/
IEEE Symposium on Foundations of Computer Science,FOCS,https://focs.computer.org/2025/
Foundations of Genetic Algorithms,FOGA,"https://naco.liacs.nl/foga2025/, https://naco.liacs.nl/foga2025//"
International Conference on Formal Ontology in Information Systems,FOIS,https://www.dmi.unict.it/fois2025/
"IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification",FORTE,http://www.discotec.org/2025/forte.html
Foundations of Software Science and Computational Structures,FOSSACS,https://etaps.org/2025/conferences/fossacs/
ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,https://www.isfpga.org/
Field Programmable Logic and Applications,FPL,https://2025.fpl.org/
Flexible Query-Answering Systems,FQAS,"https://fqas2025.uniburgas.bg/, https://fqas2025.uniburgas.bg/index.html"
IEEE Conference of the Open Innovations Association FRUCT,FRUCT,"https://www.fruct.org/conferences/37/, https://www.fruct.org/"
International Conference on Formal Structures for Computation and Deduction,FSCD,https://fscd2025.github.io/
International Workshop on Fast Software Encryption,FSE,https://fse.iacr.org/2025/
ACM International Conference on the Foundations of Software Engineering,FSE,https://conf.researchr.org/home/fse-2025
Foundations of Software Technology and Theoretical Computer Science,FST&TCS,"https://www.fsttcs.org.in/2024/, https://www.fsttcs.org.in/"
Workshop on Formal Techniques for Java-like Programs,FTfJP,"https://conf.researchr.org/home/issta-ecoop-2024/FTfJP-2024, https://2025.ecoop.org/home/FTfJP-2025"
Conference on Fun with Algorithms,FUN,https://sites.google.com/unipi.it/fun2024
International Conference on Information Fusion,FUSION,https://fusion2025.org/
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,https://fuzzieee2025.conf.lip6.fr/
Graph Drawing,GD,https://graphdrawing.github.io/gd2025/
Genetic and Evolutionary Computations,GECCO,https://gecco-2025.sigevo.org/HomePage
IEEE Global Internet Symposium,GI,"https://graphicsinterface.org/conference/2025/, http://graphicsinterface.org/conference/2025/"
Graphics Interface,GI,"https://graphicsinterface.org/conference/2025/, http://graphicsinterface.org/conference/2025/"
IEEE Global Telecommunications Conference,GLOBECOM,https://globecom2025.ieee-globecom.org/
Geometry Modeling and Processing,GMP,https://sites.wustl.edu/gmp2025/
"International Conference on Green, Pervasive and Cloud Computing",GPC,"http://2024.gpc-conf.org/home.html, http://2024.gpc-conf.org/"
International Conference on Generative Programming and Component Engineering,GPCE,https://2025.ecoop.org/home/gpce-2025
Workshop on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks,Graph-hoc,https://cseit2025.org/graph-hoc/index
Visualization In Science and Education,GRC,https://www.grc.org/visualization-in-science-and-education-conference/2025/
ACM Special Interest Group on Supporting Group Work,Group,https://group.acm.org/conferences/group25/
International Wordnet Conference,GWC,https://unipv-larl.github.io/GWC2025/
Human-Agent Interaction,HAI,https://hai-conference.net/hai2025/
International Conference on Hybrid Artificial Intelligence Systems,HAIS,https://haisconference.eu/
Haskell Workshop,HASKELL,"https://icfp24.sigplan.org/home/haskellsymp-2024, https://conf.researchr.org/home/icfp-splash-2025/haskellsymp-2025"
British Computer Society Conference on Human-Computer Interaction,HCI,https://2025.hci.international/
HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist,https://hcist.scika.org/
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,"https://www.humancomputation.com/index.html, https://www.humancomputation.com/"
Heterogeneity in Computing Workshop,HCW,https://hcw-ipdps.org/
IEEE international conference on ehealth networking applications and services,HealthCom,https://healthcom2025.ieee-healthcom.org/
Health Informatics Conference,HIC,"https://healthinf.scitevents.org/Home.aspx, https://digitalhealth.org.au/hic/"
International Conference on High Performance Computing,HiPC,https://www.hipc.org/
International Workshop on High-Level Parallel Programming Models and Supportive Environments,HIPS,https://hips2025.github.io/
International Conference on Hybrid Intelligent Systems,HIS,https://www.mirlabs.org/his23/
International workshop on High-Level Parallel Programming and Applications,HLPP,"https://hlpp-conference.github.io/hlpp-2025/, https://hlpp2024.di.unipi.it/"
Symposium on High Performance Chips,HOTCHIPS,https://hotchips.org/
IEEE Symposium on High-Performance Interconnects,HOTI,https://hoti.org/
Workshop on Mobile Computing Systems and Applications,HOTMOBILE,"https://hotmobile.org/2025/, http://www.hotmobile.org/2025/"
ACM Workshop on Hot Topics in Networks,HOTNETS,https://conferences.sigcomm.org/hotnets/2024/
USENIX Workshop on Hot Topics in Operating Systems,HotOS,https://sigops.org/s/conferences/hotos/2025/
International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region,HPC Asia,https://event1.nchc.org.tw/hpcasia2025/
International Symposium on High Performance Computer Architecture,HPCA,https://hpca-conf.org/2025/
IEEE International Conference on High Performance Computing and Communications,HPCC,https://hpcn.exeter.ac.uk/hpcc2025/
ACM International Symposium on High Performance Distributed Computing,HPDC,"https://hpdc.sci.utah.edu/2025/, http://hpdc.org/2025/"
International Conference on High Performance Scientific Computing,HPSC,https://www.cloud-conf.net/datasec/2025/hpsc/
IEEE Workshop on High Performance Switching and Routing,HPSR,https://hpsr2025.ieee-hpsr.org/
ACM/IEEE International Conference on Human-Robot Interaction,HRI,https://humanrobotinteraction.org/2025/
Human System Interaction,HSI,https://hsi2025.welcometohsi.org/
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,https://i3dsymposium.org/2025/
International Conference on Innovations for Community Services,I4CS,https://www.eah-jena.de/i4cs-conference
Innovative Applications in AI,IAAI,"https://aaai.org/conference/aaai/aaai-25/iaai-25-call/, https://aaai.org/conference/iaai/"
IADIS International Conference Applied Computing,IADIS AC,https://www.computing-conf.org/
IEEE Industry Applications Society Annual Conference,IAS,https://ias-am.ieee.org/2025/
International Symposium on Information Assurance and Security,IAS,None
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,https://ic3k.scitevents.org/
International Conference on Algorithms and Architectures for Parallel Processing,ICA3PP,"https://ica3pp2024.scimeeting.cn/en/web/index/21666, https://ica3pp2025.scimeeting.cn/"
International Conference on Agents and Artificial Intelligence,ICAART,"https://icaart.scitevents.org/, https://icaart.scitevents.org/?y=2025"
International Conference on Artificial Intelligence,IC-AI,https://arsss.org/Conference/47456/ICAI/
International Conference on Artificial Intelligence and Law,ICAIL,https://sites.northwestern.edu/icail2025/
International Conference on Artificial Intelligence and Soft Computing,ICAISC,"https://icaisc.eu/, https://icaisc2025.icaisc.eu/"
International Colloquium on Automata Languages and Programming,ICALP,https://conferences.au.dk/icalp2025
IEEE International Conference on Advanced Learning Technologies,ICALT,https://tc.computer.org/tclt/icalt-2025/
International Conference on Artificial Neural Networks,ICANN,https://e-nns.org/icann2025/
International Conference on Automated Planning and Scheduling,ICAPS,"https://icaps25.icaps-conference.org/, https://icaps25.icaps-conference.org/home/"
"International Conference on Control, Automation, Robotics and Vision",ICARCV,"https://icarcv2024.org/, https://www.ieee-ras.org/conferences-workshops/technically-co-sponsored/icarcv"
"IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,https://2025.ieeeicassp.org/
IEEE International Conference on Blockchain and Cryptocurrency,ICBC,https://icbc2025.ieee-icbc.org/
IEEE/ACM International Conference on Computer-Aided Design,ICCAD,https://2025.iccad.com/
International Congress on Computational and Applied Mathematics,ICCAM,https://waset.org/computational-and-applied-mathematics-conference-in-august-2025-in-amsterdam
International Conference on Case-Based Reasoning,ICCBR,https://2025.iccbr.org/
International Conference on Computational Creativity,ICCC,https://computationalcreativity.net/iccc25/
International Conference on Computational Collective Intelligence,ICCCI,https://iccci.pwr.edu.pl/2025/
International Conference on Computer Communication and Networks,ICCCN,"http://icccn.org/index.html, http://www.icccn.org/"
IEEE International Conference on Computer Design,ICCD,https://www.iccd-conf.com/
International Conference on Computers in Education,ICCE, https://icce2025.study.iitm.ac.in/
International Conference on Computers Helping People with Special Needs,ICCHP,https://www.icchp.org/
IEEE International Conference on Cognitive Informatics,ICCI,None
IEEE International Conference on Intelligent Computer Communication and Processing,ICCP,"https://iccp.ro/, https://www.iccp.ro/"
International Conference on Computational Science,ICCS,https://www.iccs-meeting.org/iccs2025/
International Conference on Computational Science and its Applications,ICCSA,https://iccsa.org/
International Conference on Communication Systems and Applications,ICCSA,https://iccsa.org/
IEEE International Conference on Computer Vision,ICCV,https://iccv.thecvf.com/
International Conference on Computer Vision and Graphics,ICCVG,"https://iccvg.sggw.edu.pl/event/1/, https://www.iccgv.org/"
IEEE International Conference on Document Analysis and Recognition,ICDAR,https://www.icdar2025.com/
International Conference on Distributed Computing and Internet Technologies,ICDCIT,https://icdcit.kiit.ac.in/
International Conference on Distributed Computing and Networking,ICDCN,https://cse.iith.ac.in/icdcn-2025/
International Conference on Distributed Computing Systems,ICDCS,https://icdcs2025.icdcs.org/
International Conference on Data Engineering,ICDE,https://ieee-icde.org/2025/
IEEE International Conference on Data Mining,ICDM,https://www3.cs.stonybrook.edu/~icdm2025/index.html
International Conference on Digital Society,ICDS,"https://www.iaria.org/conferences2025/ICDS25.html, https://ife.no/en/event/international-conference-on-digital-sovereignty-icds-2025/"
IEEE International Conference on Data Science and Engineering,ICDSE,https://ieee-icde.org/2025/
International Conference on Database Theory,ICDT,https://edbticdt2025.upc.edu/
International Conference on Entertainment Computing,ICEC, https://icec2025.entcomp.org/
International Conference on Electronic Commerce,ICEC,"https://www.tjhongcheng.com/icec2025/120.html, https://www.icec.net/post/icec-2025-will-be-held-in-tianjin-china"
IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,https://iceccs2025-hangzhou.github.io/
International Computing Education Research Workshop,ICER,https://icer2025.acm.org/
International Conference Formal Concept Analysis Conference,ICFCA,https://concepts2025.conference.ubbcluj.ro/
IEEE International Conference on Fog and Edge Computing,ICFEC,https://icfec2025.ontariotechu.ca/
International Conference on Formal Engineering Methods,ICFEM,https://icfem2025.github.io/
International Conference on Frontiers of Handwriting Recognition,ICFHR,None
International Conference on Functional Programming,ICFP,https://icfp25.sigplan.org/
IEEE International Conference on Global Software Engineering,ICGSE,None
International Conference on Graph Transformations,ICGT,https://conf.researchr.org/home/icgt-2025
International Conference on Image Analysis and Processing,ICIAP,https://sites.google.com/view/iciap25
International Conference on Information and Communications Security,ICICS,https://www.icics2025.org/
International Conference on Internet Computing in Science and Engineering,ICICSE,None
International Conference on Interactive Digital Storytelling,ICIDS,"https://icids2024.ardin.online/, https://ardin.online/2025/03/30/icids-2025/"
International Conference on Image and Graphics,ICIG,http://icig2021.csig.org.cn/
International Conference on Internet Monitoring and Protection,ICIMP,https://www.iaria.org/conferences2025/ICIMP25.html
"Conference on Innovation in Clouds, Internet and Networks",ICIN,"https://www.icin-conference.org/, https://www.icin-conference.org/2025/"
"International Conference on Informatics in Control, Automation and Robotics",ICINCO,"https://icinco.scitevents.org/, https://icinco.scitevents.org/Home.aspx?y=2025"
IEEE International Conference on Image Processing,ICIP,https://2025.ieeeicip.org/
IEEE/ACIS International Conference on Computer and Information Science,ICIS,"https://acisinternational.org/conferences/icis-2024/, https://acisinternational.org/conferences/icis-2024-2/"
International Conference on Information Security and Cryptology,ICISC,http://www.icisc.org/
International Conference on Image and Signal Processing,ICISP,https://www.icispc.org/
International Conference on Information Systems Security,ICISS,https://iciss.isrdc.in/
International Conference on Information Systems Security and Privacy,ICISSP,"https://icissp.scitevents.org/, https://icissp.scitevents.org/?y=2025"
International Conference on Information Technology and Applications,ICITA,https://www.icita.world/#/
International Conference on Internet and Web Applications and Services,ICIW,https://www.iaria.org/conferences2025/ICIW25.html
International Conference on Logic Programming,ICLP,"https://www.iclp24.utdallas.edu/, https://iclp25.demacs.unical.it/"
International Conference on Learning Representations,ICLR,https://iclr.cc/Conferences/2025
IEEE International Conference on Multimedia and Expo,ICME,https://2025.ieeeicme.org/
International Conference on Multimodal Interaction,ICMI,https://icmi.acm.org/2025/
International Conference on Machine Learning,ICML,"https://icml.cc/, https://icml.cc/Conferences/2025"
International Conference on Machine Learning and Applications,ICMLA,https://www.icmla-conference.org/icmla25/
International Conference on Machine Learning and Cybernetics,ICMLC,https://www.icmlc.com/
International Conference on Multimedia Retrieval,ICMR,https://www.icmr-2025.org/
International Conference on Machine Vision,ICMV,https://icmv.org/
International Conference on Natural Computation,ICNC,https://icnc-fskd.imnu.edu.cn/
International Conference on Network Protocols,ICNP,https://ieeeicnp2025.pages.dev/
International Conference on Computing and Informatics,ICOCI,https://soc.uum.edu.my/icoci/2025/
International Conference on Neural Information Processing,ICONIP,https://iconip2025.apnns.org/
International Conference on Operations Research and Enterprise Systems,ICORES,"https://icores.scitevents.org/, https://icores.scitevents.org/?y=2025"
International Conference on Smart homes and health Telematics,ICOST,None
International Conference on Optimization: Techniques And Applications,ICOTA,https://www.icoa-conf.org/
International Conference on Parallel and Distributed Systems,ICPADS,https://attend.ieee.org/icpads/
IEEE International Conference on Program Comprehension,ICPC,https://conf.researchr.org/home/icpc-2025
ACM/SPEC International Conference on Performance Engineering,ICPE,https://icpe2025.spec.org/
International Conference on Process Mining,ICPM,https://icpmconference.org/2025/
International Conference on Parallel Processing,ICPP,"https://icpp2024.org/index.php?Itemid=110, https://icpp2025.sdsc.edu/"
International Conference on Pattern Recognition,ICPR,"https://icpr2024.org/, https://www.icprs.org/"
International Conference on Pattern Recognition Applications and Methods,ICPRAM,"https://icpram.scitevents.org/, https://icpram.scitevents.org/?y=2025"
IEEE International Conference on Robotics and Automation,ICRA,https://2025.ieee-icra.org/
ACM International Conference on Supercomputing,ICS,https://hpcrl.github.io/ICS2025-webpage/
International Conference on Software Architecture,ICSA,https://conf.researchr.org/home/icsa-2025
International Conference on Software Engineering,ICSE,https://conf.researchr.org/home/icse-2025
International Conference on Software Engineering Advances,ICSEA,https://www.iaria.org/conferences2025/ICSEA25.html
International Conference on Systems Engineering,ICSEng,https://www.icseng.com/
IEEE International Conference on Software Maintenance and Evolution,ICSME,https://conf.researchr.org/home/icsme-2025
International Conference on Service Oriented Computing,ICSOC,"https://easychair.org/cfp/ICSOC2024, https://icsoc2025.hit.edu.cn/"
International Conference on Software and Data Technologies,ICSoft,"https://icsoft.scitevents.org/, https://icsoft.scitevents.org/?y=2025"
International Conference on Software Reuse,ICSR,https://conf.researchr.org/home/icsr-2025
International Conference on Software and System Processes,ICSSP,"https://icssp2024.events.isspa-process.org/, https://events.isspa-process.org/"
"International Conference on Software Testing, Verification and Validation",ICST,https://conf.researchr.org/home/icst-2025
International Conference on Information and Communication Technologies for Ageing Well and e-Health,ICT4AWE,"https://ict4awe.scitevents.org/, https://ict4awe.scitevents.org/?y=2025"
International Colloquium on Theoretical Aspects of Computing,ICTAC,"https://ictac2024.cs.ait.ac.th/, https://ictac2025.digital-hub.sh/"
International Conference on Tools with Artificial Intelligence,ICTAI,https://ictai.computer.org/2025/
International Conference on Information and Communication Technologies and Development,ICTD,https://ictd.org/
"ICT in Education, Research, and Industrial Applications",ICTERI,https://icteri.org/icteri-2025/
International Conference on the Theory of Information Retrieval,ICTIR,"https://www.ictir2024.org/, https://ictir2025.cs.umass.edu/"
International Conference on Testing Software and Systems,ICTSS,https://conf.researchr.org/home/ictss-2025
International Conference on Virtual Rehabilitation,ICVR,https://www.icvr.org/
International Conference on Computer Vision Systems,ICVS,https://icvs2023.conf.tuwien.ac.at/about-icvs/
International Conference on Web Engineering,ICWE,https://icwe2025.webengineering.org/
IEEE International Conference on Web Services,ICWS,https://services.conferences.computer.org/2025/icws-2025/
International Conference on Web and Social Media,ICWSM,https://www.icwsm.org/2025/index.html
Intelligent Data Analysis,IDA,https://ida2025.org/
Interaction Design and Children,IDC,https://idc.acm.org/2025/
Intelligent Distributed Computing,IDC,https://blogs.brighton.ac.uk/idc2024/
International Conference on Informatics & Data-Driven Medicine,IDDM,https://science.lpnu.ua/iddm-2024
International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,https://ideal2024.webs.upv.es/
International Database Engineering and Applications Symposium,IDEAS,https://conferences.ncl.ac.uk/ideas2025/
The International Conference on Intelligent Environments,IE,https://www.ie2025.fraunhofer.de/
Interactive Entertainment,IE,http://current.ieconference.org/
International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,IEA/AIE,https://www.i-somet.org/iea-aie2025/
IEEE Industrial Electronics Society,IECON,https://iecon2025.org/
IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning,IEEE ADPRL,None
IEEE International Symposium on Artificial Life,IEEE Alife,"https://ieee-ssci.org/?ui=ci-in-artificial-life-and-cooperative-intelligent-systems, https://ieee-ssci.org/"
IEEE Consumer Communications and Networking Conference,IEEE CCNC,https://ccnc2025.ieee-ccnc.org/
IEEE Symposium on Computational Intelligence in Control and Automation,IEEE CICA,"https://attend.ieee.org/ssci-2023/ieee-symposium-on-computational-intelligence-in-control-and-automationieee-cica/, https://ieee-ssci.org/"
IEEE Symposium on Computational Intelligence in Cyber Security,IEEE CICS,https://ieee-ssci.org/
IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,"https://www.stevens.edu/craft/cifer-conference-2024, https://ieee-ssci.org/?ui=ci-for-financial-engineering-and-economics"
IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing,IEEE CIMSIVP,"https://attend.ieee.org/ssci-2023/ieee-symposium-on-computational-intelligence-for-multimedia-signal-and-vision-processing-ieee-cimsivp/, https://ieee-ssci.org/"
IEEE Symposium on Computational Intelligence for Security and Defence Applications,IEEE CISDA,"https://ieee-ssci.org/, https://attend.ieee.org/ssci-2023/ieee-symposium-on-computational-intelligence-for-security-and-defense-applications-ieee-cisda/"
IEEE International Conference on Intelligent Systems,IEEE IS,https://www.ieee-is.org/
IEEE Swarm Intelligence Symposium,IEEE SIS,https://ieee-ssci.org/
IEEE International Conference on Software Services Engineering,IEEE SSE,https://services.conferences.computer.org/2025/sse/
IEEE Visualization,IEEE VIS,"https://ieeevis.org/year/2025/welcome, https://ieeevis.org/"
Intelligent Vehicles Conference,IEEE-IV,https://ieee-iv.org/2025/
Intenational Environmental Modelling and Software Society,iEMSs,https://iemss.org/
Asia Pacific Symposium on Intelligent and Evolutionary Systems,IES,None
IFIP Information Security & Privacy Conference,IFIP SEC,https://sec2025.um.si/
Integrated Formal Methods,IFM,https://ifm2025.ens.psl.eu/
IFSA World Congress,IFSA,"https://ifsa-nafips2025.org/, https://sites.ualberta.ca/~reformat/ifsa-nafips-25/index.html"
IEEE International Geoscience and Remote Sensing Symposium,IGARSS,https://www.2025.ieeeigarss.org/
Information Hiding and Multimedia Security Workshop,IH&MMSec,"https://www.ihmmsec.org/cms/front_content.php?idart=241&idcat=69&changelang=2, https://www.ihmmsec.org/"
Information Integration and Web-based Applications and Services,IIWAS,https://www.iiwas.org/conferences/iiwas2025/
International Joint Conference on Artificial Intelligence,IJCAI,https://2025.ijcai.org/
International Joint Conference on Automated Reasoning,IJCAR,https://ijcar.org/
International Joint Conference on Biometrics,IJCB,https://ijcb2025.ieee-biometrics.org/
International Joint Conference on Computational Intelligence,IJCCI,https://ijcci.scitevents.org/
International Joint Conference on Natural Language Processing,IJCNLP,https://www.afnlp.org/web/call-for-bids-ijcnlp-aacl-2025/
IEEE International Joint Conference on Neural Networks,IJCNN,https://2025.ijcnn.org/
International Joint Conference on Rough Sets,IJCRS,http://ijcrs2025.cqupt.edu.cn/#/
International Conference on Information and Knowledge Engineering,IKE,https://american-cse.org/csce2025/conferences-IKE
Inductive Logic Programming,ILP,https://ijclr2025.pages.surrey.ac.uk/
International Conference of the Immersive Learning Research Network,iLRN,https://www.immersivelrn.org/ilrn2025/home/
IFIP/IEEE International Symposium on Integrated Management,IM,https://noms2025.ieee-noms.org/
IMA International Conference on Cryptography and Coding,IMACC,https://ima.org.uk/21435/19th-ima-international-conference-on-cryptography-and-coding/
Internet Measurement Conference,IMC,https://conferences.sigcomm.org/imc/2025/
International Machine Vision and Image Processing Conference,IMVIP,https://imvipconference.github.io/
Indian Conference on Human-Computer Interaction,IndiaHCI,https://www.2025.indiahci.org/
IEEE International Conference on Industrial Informatics,INDIN,https://indin2025.ieee-ies.org/#/
International Conference on Cryptology in India,INDOCRYPT,"https://setsindia.in/indocrypt2024/indocrypt, http://indocrypt.org/"
IEEE International Conference on Computer Communications,INFOCOM,https://infocom2025.ieee-infocom.org/
International Conference on Advanced Communications and Computation,INFOCOMP,"https://www.iaria.org/conferences2025/INFOCOMP25.html, https://www.iaria.org/conferences/INFOCOMP.html"
IEEE International Scientific Conference on Informatics,Informatics,https://informatics.kpi.fei.tuke.sk/
Information Visualisation Theory and Practice,InfVis,"https://ieeevis.org/year/2025/welcome, https://ieeevis.org/"
International Symposium on Innovations in Intelligent Systems and Applications,INISTA,"https://dcti.ucv.ro/inista2024/, https://asyu.inista.org/indexEN.html"
International Natural Language Generation Conference,INLG, https://2025.inlgmeeting.org/
International Network Optimization Conference,INOC,https://inoc2024.sciencesconf.org/
SKLOIS Conference on Information Security and Cryptology,Inscrypt,https://inscrypt2024.github.io/
Informing Science and Information Technology Education,InSITE,https://www.informingscience.org/Conferences/InSITE2025/Overview
IFIP TC13 Conference on Human-Computer Interaction,Interact,https://interact2025.org/
Interspeech,Interspeech,https://www.interspeech2025.org/home
IEEE International On-Line Testing Symposium,IOLTS,https://orion.polito.it/iolts/
"International Conference on Internet of Things, Big Data and Security",IoTBDS,"https://iotbds.scitevents.org/, https://iotbds.scitevents.org/?y=2025"
IEEE International Performance Computing and Communications Conference,IPCCC,"https://www.ipccc.org/, https://www.ipccc.org/ipccc2025/main.php?page=1"
Conference on Integer Programming and Combinatorial Optimization,IPCO,https://ipco25.cs.jhu.edu/
IEEE International Parallel and Distributed Processing Symposium,IPDPS,"https://www.ipdps.org/, https://www.ipdps.org/ipdps2025/"
International Symposium on Parameterized and Exact Computation,IPEC,https://algo-conference.org/2025/
International Conference on Indoor Positioning and Indoor Navigation,IPIN,https://ipin-conference.org/2025/
International Conference on Information Processing and Management of Uncertainty,IPMU,"https://ipmu2024.inesc-id.pt/, http://ipmu.lip6.fr/?ForthcomingConference"
Information Processing in Sensor Networks,IPSN,"https://ipsn.acm.org/2025/, https://sensys.acm.org/2025/"
IEEE International Conference on Information Reuse and Integration,IRI,https://ieee-iri.github.io/
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,http://www.iros25.org/
International Symposium on Algorithms and Computation,ISAAC,"https://sites.google.com/view/isaac2024/home, https://www.issac-conference.org/2025/"
International Symposium on Autonomous Decentralized Systems,ISADS,None
Conference for the International Simulation and Gaming Association,ISAGA,https://www.isaga2025.com/
International Symposium on Artificial Intelligence and Mathematics,ISAIM,https://isaim2024.cs.ou.edu/
International Symposium on Automation and Robotics in Construction,ISARC,https://www.iaarc.org/isarc-2025
Industrial Simulation Conference,ISC,https://www.eurosis.org/conf/isc/2025/
Information Security Conference,ISC,https://isc25.skku.edu/
ISC High Performance,ISC,https://isc-hpc.com/
ACM International Symposium on Computer Architecture,ISCA,https://iscaconf.org/isca2025/
IEEE International Symposium on Circuits and Systems,ISCAS,https://2025.ieee-iscas.org/
IEEE Symposium on Computers and Communications,ISCC,https://ieee-iscc.computer.org/2025/
International Symposium on Combinatorial Optimisation,ISCO,"https://eventos.ull.es/111018/detail/isco-2024-tenerife-22-24-may-2024.html, https://www.lamsade.dauphine.fr/~isco/"
International Conference on Intelligent Systems Designs and Applications,ISDA,https://www.fsts.ac.ma/pages/isda25
International Symposium on Grids and Clouds,ISGC,https://indico4.twgrid.org/event/51/
IEEE International Conference on Intelligence and Security Informatics,ISI,https://ieee-isi.org/2025/
IEEE International Symposium on Information Theory,ISIT,https://2025.ieee-isit.org/
International Symposium on Information Theory and Its Applications,ISITA,https://isita.ieice.org/2024/
International Conference on Intelligent Systems and Knowledge Engineering,ISKE,"https://iske2025.com/, https://www.iske2025.com/"
IEEE International Symposium on Multimedia,ISM,https://www.multimediacomputing.org/
IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,https://www.ieeeismar.net/2025/
Intelligent Systems in Molecular Biology,ISMB,https://www.iscb.org/ismbeccb2025/home
International Symposium on Foundations of Intelligent Systems,ISMIS,https://ismis2024.ensma.fr/
International Symposium on Memory Management,ISMM,https://conf.researchr.org/home/ismm-2025
"International Symposium on Networks, Computers and Communications",ISNCC,https://www.isncc-conf.org/
International Symposium on Neural Networks,ISNN,https://conference.cs.cityu.edu.hk/isnn/
"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation",ISoLA,"https://2024-isola.isola-conference.org/, https://isola-conference.org/"
IEEE International Symposium on Real-Time Distributed Computing,ISORC,https://isorc.github.io/2025/
IEEE International Symposium on Parallel and Distributed Processing with Applications,ISPA,https://www.ieee-ispa.org/2024/ispa/
IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,"https://ispass.org/ispass2025/, https://ispass.org/"
International Symposium on Parallel and Distributed Computing,ISPDC,https://ispdc2025.inria.fr/
Information Security Practice and Experience Conference,ISPEC,https://ispec2024.github.io/ISPEC2024/
Annual International Workshop on Presence,ISPR,https://ispr.info/
International Symposium on Robotics Research,ISRR,"https://isrr2024.su.domains/, http://ifrr.org/isrr"
ACM International Conference on Interactive Surfaces and Spaces,ISS,https://iss.acm.org/
International Symposium on Symbolic and Algebraic Computation,ISSAC,"https://www.issac-conference.org/2025/, https://www.issac-conference.org/"
International Symposium on Spatial Data Quality,ISSDQ,https://gsw2025.ae/issdq/
International Symposium on Software Reliability Engineering,ISSRE,https://issre.github.io/2025/
International Symposium on Software Testing and Analysis,ISSTA,https://conf.researchr.org/home/issta-2025
International Symposium on Technology and Society,ISTAS,https://attend.ieee.org/istas-2025/
International Symposium on Ubiquitous Virtual Reality,ISUVR,None
International Symposium on Visual Computing,ISVC,https://www.isvc.net/
International Semantic Web Conference,ISWC,https://iswc2025.semanticweb.org/
IEEE International Symposium on Wearable Computers,ISWC,https://www.ubicomp.org/ubicomp-iswc-2025/
International Conference on Internet Technologies and Applications,ITA,https://icaita2025.org/
IEEE International Test Conference,ITC,https://www.itctestweek.org/
International Teletraffic Congress,ITC,https://itc36.itc-conference.org/
Innovations in Theoretical Computer Science,ITCS,http://itcs-conf.org/
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,https://iticse.acm.org/2025/
International Telecommunication Networks and Applications Conference,ITNAC,"http://itnac.org.au/2025/26-28-november-2025-canterbury-new-zealand, http://itnac.org.au/index.php/2025/26-28-november-2025-canterbury-new-zealand"
Conference on Interactive Theorem Proving,ITP,https://icetcs.github.io/frocos-itp-tableaux25/itp/
International Conference on Intelligent Tutoring Systems,ITS,https://iis-international.org/its2025-generative-systems/
Information Theory Workshop,ITW,https://www.ieee-itw2025.org/
International Conference on Intelligent User Interfaces,IUI,https://iui.acm.org/2025/
International Conference on Information Visualisation,IV,https://iv.csites.fct.unl.pt/de/
Intelligent Virtual Agents,IVA,https://iva.acm.org/2025/
Applications of Information Visualization,IV-App,"https://ivapp.scitevents.org/, https://ivapp.scitevents.org/?y=2025"
Information Visualization in Biomedical Informatics,IVBI,https://iv.csites.fct.unl.pt/iv2020/symposia/medivis/ivbi/index.html
Image and Vision Computing Conference,IVCNZ,https://ecs.wgtn.ac.nz/Events/IVCNZ2025/WebHome
International Work-Conference on Artificial and Natural Neural Networks,IWANN,https://iwann.uma.es/
International Workshop on Combinatorial Image Analysis: Theory and Applications,IWCIA,https://iwcia2025.inf.u-szeged.hu/
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,https://iwcmc.net/2025/index.php
International Workshop on Digital Watermarking,IWDW,None
